,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,Draft & Bottles,,ABC,ABC,Bottle,  69.00 ,0,39,  30 ,  25 ,  (5.00),  52.00 ,,  (6.67),  (58.67),  -   ,,,
,,Vodka,,Absolut Blue,Absolut Blue,Bottle,  2.00 ,10,,  12 ,  6 ,  (6.00),  -   ,  (66.90),,  (66.90),  111.50 ,Use For blending ,,
,,Rum,,Amaretto,Ameretto,Bottle,  4.00 ,1,,  5 ,  4 ,  (1.00),  -   ,  (7.00),,  (7.00),  7.00 ,Use For blending ,,
,,Draft & Bottles,,Anchor Bottle,Anchor Bottle,Bottle,  54.00 ,0,2,  52 ,  -   ,  (52.00),  1.33 ,,  (34.45),  (35.78),  -   ,Lost or Sale at Event,,
,,Draft & Bottles,,Angkor Bottle,Angkor Bottle,Bottle,  92.00 ,192,188,  96 ,  66 ,  (30.00),  104.87 ,,  (16.73),  (121.60),  107.10 ,,,
,,Bottles,,Angkor Sky,Angkor Sky,Bottle,  7.00 ,0,0,  7 ,  -   ,  (7.00),  -   ,,  (3.97),  (3.97),  -   ,,,
,,#N/A,,Angostura,Angostura,Bottle,  -   ,2,,  2 ,  -   ,  (2.00),  -   ,  (26.00),,  (26.00),  26.00 ,,,
,,#N/A,,Aperol,Aperol,Bottle,  3.00 ,2,,  5 ,  4 ,  (1.00),  -   ,  (13.00),,  (13.00),  26.00 ,Use For blending ,,
,,Soft Drinks,,Apple juice,Apple juice,Bottle,  16.00 ,12,,  28 ,  18 ,  (10.00),  -   ,  (16.67),,  (16.67),  20.00 ,Over stock,,
,,Rum,,Bacardi  Cataoro gool,Bacardi  Cataoro gool,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
x,,Rum,,Bacardi Black,Bacardi Black,Bottle,  6.00 ,1,,  7 ,  5 ,  (2.00),  -   ,  (28.00),,  (28.00),  14.00 ,,,
,,Rum,,Bacardi Light,Bacardi Light,Bottle,  -   ,11,,  11 ,  -   ,  (11.00),  -   ,  (111.50),,  (111.50),  111.50 ,Use For blending ,,
