12/31/2025,,
Date,Remark,Amount
"Dec 01, 2025",Beer expense,57
"Dec 01, 2025",Gas expense,78
"Dec 01, 2025",Ice expense,47
"Dec 01, 2025",Interest expense,53.96
"Dec 01, 2025",Kitchen expense - LSH,593.4
"Dec 01, 2025",Officer expense,260
"Dec 01, 2025",Other expense,50
"Dec 01, 2025",Rental Expense,2675
"Dec 01, 2025",Wine expense,182.9
"Dec 02, 2025",Facilities expense,156
"Dec 02, 2025",Payroll Expense,2186.33
"Dec 03, 2025",Cigarrete expense,23.44
"Dec 03, 2025",Marketing expense,35
"Dec 03, 2025",Payroll Expense,250
"Dec 04, 2025",Flower expense,32
"Dec 04, 2025",Grocery expense,1097.46
"Dec 04, 2025",Wine expense,264.7
"Dec 05, 2025",Flower expense,7.5
"Dec 06, 2025",Facilities expense,298.9
"Dec 06, 2025",Other expense,3
"Dec 07, 2025",Facilities expense,50
"Dec 09, 2025",Beer expense,958.5
"Dec 09, 2025",Facilities expense,36.3
"Dec 09, 2025",Ice expense,58
"Dec 09, 2025",Internal trasfer,50
"Dec 09, 2025",Kitchen expense - BSB,1265.45
"Dec 09, 2025",Kitchen expense - LSH,527.4
"Dec 09, 2025",Kitchen Expense - Pepperoni,68
"Dec 09, 2025",Payroll Expense,250
"Dec 09, 2025",Wine expense,572.8
"Dec 10, 2025",Monthly Tax expense,150
"Dec 11, 2025",Wrong Transaction ,35
"Dec 12, 2025",Asset,200
"Dec 12, 2025",Facilities expense,45
"Dec 12, 2025",Other expense,2
"Dec 12, 2025",Payroll-Overtime,306
"Dec 16, 2025",Asset,200
"Dec 16, 2025",Beer expense,750
"Dec 16, 2025",Cigarrete expense,23.44
"Dec 16, 2025",Electricity expense,450.4
"Dec 16, 2025",Ice expense,56
"Dec 16, 2025",Interest expense,300
"Dec 16, 2025",Kitchen expense - BSB,470.5
"Dec 16, 2025",Kitchen Expense - Burger Bun,35.25
"Dec 16, 2025",Kitchen expense - LSH,512.05
"Dec 16, 2025",Payroll Expense,2520.53
"Dec 16, 2025",Wine expense,465
"Dec 18, 2025",Marketing expense,35
"Dec 22, 2025",Facilities expense,894
"Dec 23, 2025",Beer expense,982
"Dec 23, 2025",Cigarret expense,23.44
"Dec 23, 2025",Cleaning expense,85
"Dec 23, 2025",Ice expense,54
"Dec 23, 2025",Kitchen expense - LSH,480.51
"Dec 23, 2025",Wine expense,951.1
"Dec 24, 2025",Profit share-Sopha,2000
"Dec 24, 2025",Profit share-Thina,2000
"Dec 25, 2025",Fruit expense,1.75
"Dec 29, 2025",Kitchen Expense - Pepperoni,68
"Dec 30, 2025",Beer expense,180
"Dec 30, 2025",Cigarrete expense,23.44
"Dec 30, 2025",Facilities expense,46.99
"Dec 30, 2025",Ice expense,57
"Dec 30, 2025",Interest expense,68.4
"Dec 30, 2025",Kitchen expense - BSB,577.55
"Dec 30, 2025",Kitchen expense - LSH,532.36
"Dec 30, 2025",Profit share-Sopha,1000
"Dec 30, 2025",Kitchen - Other,19.36
"Dec 30, 2025",Wine expense,71
"Dec 31, 2025",Event expenses,99
"Dec 31, 2025",Officer expense,100
"Dec 02, 2025",Internal transfer,1282.03
"Dec 02, 2025",Kitchen expense - Salmon,25
"Dec 02, 2025",Other expense,1
"Dec 04, 2025",Facilities expense,9.5
"Dec 05, 2025",Facilities expense,1
"Dec 05, 2025",Flower expense,5
"Dec 06, 2025",Drinking water for staffs,3.75
"Dec 06, 2025",Facilities expense,3.25
"Dec 06, 2025",Kitchen expense - Salmon,25
"Dec 07, 2025",Entertainment expense,11.5
"Dec 07, 2025",Ice expense,15
"Dec 09, 2025",Internal transfer,2092.18
"Dec 09, 2025",Kitchen - Other,4.6
"Dec 09, 2025",Kitchen expense - Salmon,25
"Dec 10, 2025",Other expense,1
"Dec 12, 2025",Miscellaneous expenses,5
"Dec 13, 2025",Drinking water for staffs,3.75
"Dec 16, 2025",Internal transfer,1694.48
"Dec 16, 2025",Kitchen expense - Salmon,25
"Dec 16, 2025",Other expense,1
"Dec 18, 2025",Facilities expense,12.75
"Dec 19, 2025",Facilities expense,3.75
"Dec 19, 2025",Flower expense,5
"Dec 19, 2025",Fruit expense,2.75
"Dec 19, 2025",Kitchen expense - Salmon,25
"Dec 20, 2025",Wrong Transaction ,5
"Dec 23, 2025",Facilities expense,7
"Dec 23, 2025",Internal transfer,2046.18
"Dec 23, 2025",Other expense,1
"Dec 24, 2025",Drinking water for staffs,3.75
"Dec 26, 2025",Kitchen expense - Salmon,50
"Dec 28, 2025",Fruit expense,5.25
"Dec 29, 2025",Internal transfer,2068.13
"Dec 30, 2025",Interest expense,7.14
"Dec 30, 2025",Kitchen expense - Salmon,25
"Dec 30, 2025",Other expense,1
"Dec 31, 2025",Other expense,15.98
"Dec 31, 2025",Wrong Transaction ,2.5
